,Article URLs,AI,"id ","full_name ","party ","filing_status ","office_name ","jurisdiction_name ","district_name ","election_type ","election_date ","race_name "
,None,Search completed ✅,6b01dfe5-ae9c-4c21-a833-94bd76d0d0b5,Christina Mulligan,Republican,Active,Clerk of the Circuit Court,Baltimore County,null,primary,2026-06-23,Clerk of the Circuit Court - Baltimore County - Primary
,None,Search completed ✅,7c597370-bbd5-49ae-8a54-a4d84860a3b4,Joe Ferdinando,Nonpartisan,Active,Board of Education Member,Cecil County,District 3,primary,2026-06-23,Board of Education Member - Cecil County - District 3 - Primary
,None,Search completed ✅,1f04f61e-1ed7-4698-9e6a-ce93f2463d3c,Kevin B. Hornberger,Republican,Active,House of Delegates Member,Maryland,Legislative District 35B,primary,2026-06-23,House of Delegates Member - Maryland - Legislative District 35B - Primary
,None,Search completed ✅,966240ce-3874-4ed5-adcf-712f92060c82,Alison Rudolph,Democratic,Active,House of Delegates Member,Maryland,Legislative District 5,primary,2026-06-23,House of Delegates Member - Maryland - Legislative District 5 - Primary
,https://www.eyeonannapolis.net/2026/04/dillon-aldrich-announces-run-for-anne-arundel-county-council-district-7/,Search completed ✅,034e2235-4d0e-4784-9876-4e237b39d0b1,Dillon Aldrich,Republican,Active,County Council Member,Anne Arundel County,District 7,primary,2026-06-23,County Council Member - Anne Arundel County - District 7 - Primary
,https://www.fredericknewspost.com/news/community_page_news/aarp-luncheon/image_34834762-e2f1-5d10-9f76-e2f55a6c8738.html,Search completed ✅,b93aab9a-ccfa-4ada-94b0-9e4610756542,Chris Manners,Democratic,Active,Register of Wills,Frederick County,null,primary,2026-06-23,Register of Wills - Frederick County - Primary
,https://www.carrollcountymd.gov/residents/county-news/carroll-county-government-news-release-2025-archive/susan-krebs-appointed-commissioner-for-district-5/,Search completed ✅,fa9d789f-3fe5-4a8e-acab-7d7813263739,Susan W. Krebs,Republican,Active,County Commissioner,Carroll County,District 5,primary,2026-06-23,County Commissioner - Carroll County - District 5 - Primary
,https://www.somdnews.com/independent/news/local/varney-files-for-charles-board-of-education/article_62d8eafb-1e90-43e2-aae0-eb0126922765.html,Search completed ✅,d901061e-da8f-4275-b466-c17620d1a746,Donta Varney,Nonpartisan,Active,Board of Education Member,Charles County,District 2,primary,2026-06-23,Board of Education Member - Charles County - District 2 - Primary
,"https://marylandmatters.org/2025/07/30/audit-highlights-spending-hiring-concerns-in-baltimore-city-register-of-wills-office/ 
https://thedailyrecord.com/2025/07/30/baltimore-wills-office-audit-spending/",Search completed ✅,c311bc4d-2698-483b-adfd-5ba77dade650,Belinda K. Conaway,Democratic,Active,Register of Wills,Baltimore City,null,primary,2026-06-23,Register of Wills - Baltimore City - Primary
,None,Search completed ✅,6e353caa-13d0-4de4-aa90-1214b13fd2b5,Dan Katz,Republican,Active,House of Delegates Member,Maryland,Legislative District 42A,primary,2026-06-23,House of Delegates Member - Maryland - Legislative District 42A - Primary
